1, swamp, biomesoplenty:bayou, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
2, swamp, biomesoplenty:bog, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
3, jungle, biomesoplenty:floodplain, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
4, swamp, biomesoplenty:marsh, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
5, none, biomesoplenty:moor, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
6, none, biomesoplenty:muskeg, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
7, swamp, biomesoplenty:wetland, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
8, none, biomeswevegone:bayou, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
9, none, biomeswevegone:cypress_swamplands, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
10, none, biomeswevegone:white_mangrove_marshes, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
11, none, goodending:marshy_swamp, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
12, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
13, swamp, regions_unexplored:bayou, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
14, swamp, regions_unexplored:fen, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
15, swamp, regions_unexplored:fungal_fen, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
16, swamp, regions_unexplored:marsh, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
17, swamp, regions_unexplored:old_growth_bayou, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
18, swamp, terralith:ice_marsh, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
19, swamp, terralith:orchid_swamp, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
20, swamp, biomesoplenty:bayou, CREATURE, alexsmobs:anaconda,12,1,1
21, swamp, biomesoplenty:bog, CREATURE, alexsmobs:anaconda,12,1,1
22, jungle, biomesoplenty:floodplain, CREATURE, alexsmobs:anaconda,12,1,1
23, swamp, biomesoplenty:marsh, CREATURE, alexsmobs:anaconda,12,1,1
24, none, biomesoplenty:moor, CREATURE, alexsmobs:anaconda,12,1,1
25, none, biomesoplenty:muskeg, CREATURE, alexsmobs:anaconda,12,1,1
26, swamp, biomesoplenty:wetland, CREATURE, alexsmobs:anaconda,12,1,1
27, none, biomeswevegone:bayou, CREATURE, alexsmobs:anaconda,12,1,1
28, none, biomeswevegone:cypress_swamplands, CREATURE, alexsmobs:anaconda,12,1,1
29, none, biomeswevegone:white_mangrove_marshes, CREATURE, alexsmobs:anaconda,12,1,1
30, none, goodending:marshy_swamp, CREATURE, alexsmobs:anaconda,12,1,1
31, swamp, minecraft:mangrove_swamp, CREATURE, alexsmobs:anaconda,12,1,1
32, swamp, minecraft:swamp, CREATURE, alexsmobs:anaconda,12,1,1
33, swamp, regions_unexplored:bayou, CREATURE, alexsmobs:anaconda,12,1,1
34, swamp, regions_unexplored:fen, CREATURE, alexsmobs:anaconda,12,1,1
35, swamp, regions_unexplored:fungal_fen, CREATURE, alexsmobs:anaconda,12,1,1
36, swamp, regions_unexplored:marsh, CREATURE, alexsmobs:anaconda,12,1,1
37, swamp, regions_unexplored:old_growth_bayou, CREATURE, alexsmobs:anaconda,12,1,1
38, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:anaconda,12,1,1
39, swamp, terralith:ice_marsh, CREATURE, alexsmobs:anaconda,12,1,1
40, swamp, terralith:orchid_swamp, CREATURE, alexsmobs:anaconda,12,1,1
41, none, terralith:skylands_summer, CREATURE, alexsmobs:anaconda,12,1,1
42, jungle, terralith:tropical_jungle, CREATURE, alexsmobs:anaconda,12,1,1
43, jungle, biomesoplenty:floodplain, CREATURE, alexsmobs:anteater,0,1,3
44, jungle, biomesoplenty:fungal_jungle, CREATURE, alexsmobs:anteater,10,1,3
45, jungle, biomesoplenty:rainforest, CREATURE, alexsmobs:anteater,10,1,3
46, jungle, biomesoplenty:rocky_rainforest, CREATURE, alexsmobs:anteater,10,1,3
47, jungle, biomeswevegone:crag_gardens, CREATURE, alexsmobs:anteater,10,1,3
48, jungle, biomeswevegone:fragment_jungle, CREATURE, alexsmobs:anteater,10,1,3
49, jungle, biomeswevegone:jacaranda_jungle, CREATURE, alexsmobs:anteater,10,1,3
50, jungle, biomeswevegone:tropical_rainforest, CREATURE, alexsmobs:anteater,10,1,3
51, jungle, minecraft:jungle, CREATURE, alexsmobs:anteater,10,1,3
52, jungle, minecraft:sparse_jungle, CREATURE, alexsmobs:anteater,10,1,3
53, jungle, regions_unexplored:eucalyptus_forest, CREATURE, alexsmobs:anteater,10,1,3
54, jungle, regions_unexplored:rainforest, CREATURE, alexsmobs:anteater,10,1,3
55, jungle, regions_unexplored:sparse_rainforest, CREATURE, alexsmobs:anteater,10,1,3
56, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:anteater,0,1,3
57, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:anteater,10,1,3
58, jungle, terralith:jungle_mountains, CREATURE, alexsmobs:anteater,10,1,3
59, jungle, terralith:rocky_jungle, CREATURE, alexsmobs:anteater,10,1,3
60, none, terralith:skylands_summer, CREATURE, alexsmobs:anteater,0,1,3
61, jungle, terralith:tropical_jungle, CREATURE, alexsmobs:anteater,10,1,3
62, extreme_hills, biomesoplenty:jade_cliffs, CREATURE, alexsmobs:bald_eagle,15,2,4
63, forest, minecraft:grove, CREATURE, alexsmobs:bald_eagle,15,2,4
64, none, minecraft:windswept_forest, CREATURE, alexsmobs:bald_eagle,15,2,4
65, forest, terralith:alpine_grove, CREATURE, alexsmobs:bald_eagle,15,2,4
66, plains, terralith:blooming_plateau, CREATURE, alexsmobs:bald_eagle,15,2,4
67, none, terralith:blooming_valley, CREATURE, alexsmobs:bald_eagle,15,2,4
68, badlands, terralith:bryce_canyon, CREATURE, alexsmobs:bald_eagle,15,2,4
69, forest, terralith:cloud_forest, CREATURE, alexsmobs:bald_eagle,15,2,4
70, none, terralith:haze_mountain, CREATURE, alexsmobs:bald_eagle,15,2,4
71, forest, terralith:lavender_forest, CREATURE, alexsmobs:bald_eagle,15,2,4
72, forest, terralith:lavender_valley, CREATURE, alexsmobs:bald_eagle,15,2,4
73, forest, terralith:moonlight_grove, CREATURE, alexsmobs:bald_eagle,15,2,4
74, forest, terralith:moonlight_valley, CREATURE, alexsmobs:bald_eagle,15,2,4
75, forest, terralith:sakura_grove, CREATURE, alexsmobs:bald_eagle,15,2,4
76, forest, terralith:sakura_valley, CREATURE, alexsmobs:bald_eagle,15,2,4
77, none, terralith:skylands_autumn, CREATURE, alexsmobs:bald_eagle,15,2,4
78, none, terralith:skylands_spring, CREATURE, alexsmobs:bald_eagle,15,2,4
79, none, terralith:skylands_winter, CREATURE, alexsmobs:bald_eagle,15,2,4
80, forest, terralith:temperate_highlands, CREATURE, alexsmobs:bald_eagle,15,2,4
81, taiga, biomesoplenty:coniferous_forest, CREATURE, alexsmobs:banana_slug,14,2,3
82, taiga, biomesoplenty:fir_clearing, CREATURE, alexsmobs:banana_slug,14,2,3
83, forest, biomesoplenty:redwood_forest, CREATURE, alexsmobs:banana_slug,14,2,3
84, taiga, minecraft:old_growth_pine_taiga, CREATURE, alexsmobs:banana_slug,14,2,3
85, taiga, minecraft:old_growth_spruce_taiga, CREATURE, alexsmobs:banana_slug,14,2,3
86, forest, terralith:forested_highlands, CREATURE, alexsmobs:banana_slug,14,2,3
87, forest, terralith:shield, CREATURE, alexsmobs:banana_slug,14,2,3
88, none, terralith:skylands_autumn, CREATURE, alexsmobs:banana_slug,14,2,3
89, forest, terralith:yosemite_lowlands, CREATURE, alexsmobs:banana_slug,14,2,3
90, plains, biomesoplenty:clover_patch, CREATURE, alexsmobs:bison,10,3,5
91, taiga, biomesoplenty:field, CREATURE, alexsmobs:bison,10,3,5
