* This is the StructMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to StructMobWeight.csv.
* Lines starting with '*' are comments and ignored
* It allows you to add and remove mobs and adjust their spawnweights for Structures
* like shipwrecks, nether fortresses, water monuments, etc.
* 
1, biomeswevegone:abandoned_prairie_house, HEADING, header:ignore, 0, 0, 0
2, arphex:altar_spawn, HEADING, header:ignore, 0, 0, 0
3, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
4, spawn:ant_mount, HEADING, header:ignore, 0, 0, 0
5, biomeswevegone:aspen_manor_1, HEADING, header:ignore, 0, 0, 0
6, biomeswevegone:aspen_manor_1, MONSTER, minecraft:vindicator, 25, 2, 4
7, biomeswevegone:aspen_manor_2, HEADING, header:ignore, 0, 0, 0
8, biomeswevegone:aspen_manor_2, MONSTER, minecraft:vindicator, 25, 2, 4
9, bakery:bakery, HEADING, header:ignore, 0, 0, 0
10, bakery:bakery, CREATURE, minecraft:pig, 10, 1, 4
11, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
12, twigs:bloodstone_obelisk, HEADING, header:ignore, 0, 0, 0
13, beautify:botanist_house_desert, HEADING, header:ignore, 0, 0, 0
14, beautify:botanist_house_plains, HEADING, header:ignore, 0, 0, 0
15, beautify:botanist_house_savanna, HEADING, header:ignore, 0, 0, 0
16, beautify:botanist_house_snowy, HEADING, header:ignore, 0, 0, 0
17, beautify:botanist_house_taiga, HEADING, header:ignore, 0, 0, 0
18, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
19, bloomingnature:cave, HEADING, header:ignore, 0, 0, 0
20, bloomingnature:cave, CREATURE, minecraft:witch, 10, 1, 4
21, berries_and_cherries:cherry_tree_structure, HEADING, header:ignore, 0, 0, 0
22, bloomingnature:cottage, HEADING, header:ignore, 0, 0, 0
23, terralith:desert_outpost, HEADING, header:ignore, 0, 0, 0
24, terralith:desert_outpost, MONSTER, minecraft:pillager, 10, 1, 1
25, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
26, biomeswevegone:dripstone_arch, HEADING, header:ignore, 0, 0, 0
27, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
28, minecraft:end_city, MONSTER, alexsmobs:mimicube, 40, 1, 3
29, habitat:fairy_ring, HEADING, header:ignore, 0, 0, 0
30, habitat:fairy_ring, CREATURE, habitat:pooka, 10, 4, 4
31, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
32, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
33, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
34, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
35, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
36, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
