"ID","Name","Description","Parent"
"alexsmobs:alexsmobs/acacia_blossom","[Flowers of the Savanna]","Obtain an Acacia Blossom from breaking Acacia Leaves","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/alligator_snapping_turtle","[Alligator In Name Only]","Encounter an Alligator Snapping Turtle","alexsmobs:alexsmobs/crocodile"
"alexsmobs:alexsmobs/bald_eagle_challenge","[Winning Play]","Kill any creature from 100 blocks away with an eagle wearing a hood.","alexsmobs:alexsmobs/falconry_hood"
"alexsmobs:alexsmobs/banana","[Gone Bananas!]","Obtain a Banana","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/banana_slug","[Convergent Evolution...]","Encounter a Banana Slug. Not so appetising.","alexsmobs:alexsmobs/banana"
"alexsmobs:alexsmobs/bison_spyglass","[Perfect View in the Plains]","Observe a Bison through the lens of a Spyglass.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/blood_sprayer","[Spray 'n Pray]","Craft a Blood Sprayer from the drops of a Crimson Mosquito","alexsmobs:alexsmobs/crimson_mosquito"
"alexsmobs:alexsmobs/breed_anteater","[Aunt Anteater]","Breed two Anteaters by feeding them pupae.","alexsmobs:alexsmobs/leafcutter_ant_pupa"
"alexsmobs:alexsmobs/breed_crocodile","[Crikey!]","Breed two crocodiles with rotten flesh. Careful not to trample their eggs!","alexsmobs:alexsmobs/crocodile"
"alexsmobs:alexsmobs/breed_froststalker","[Undercover Under Covers]","Breed two Froststalkers with porkchops.","alexsmobs:alexsmobs/froststalker_helmet"
"alexsmobs:alexsmobs/breed_hummingbird","[Sugar Rush]","Breed two hummingbirds with flowers","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/capsid","[Capsid-19]","Obtain a Capsid from a slain Enderiophage. Use it to display items or to transfer them upwards","alexsmobs:alexsmobs/enderiophage"
"alexsmobs:alexsmobs/cosmic_cod","[Weird Fishes/Arpeggi]","Create a Cosmic Cod by placing a Cod in a Capsid.","alexsmobs:alexsmobs/capsid"
"alexsmobs:alexsmobs/crimson_mosquito","[Nightmare Fuel]","Encounter a crimson mosquito","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/crimson_mosquito_larva","[Pest Control]","Craft a Crimson Mosquito Larvae from a maggot and a special proboscis","alexsmobs:alexsmobs/crimson_mosquito"
"alexsmobs:alexsmobs/crimson_mosquito_sick","[Down with the Sickness]","Feed a Crimson Mosquito a strange, fungal creature covered in Warped Fungus. Watch as the Crimson Mosquito transforms!","alexsmobs:alexsmobs/crimson_mosquito"
"alexsmobs:alexsmobs/crocodile","[Chompy]","Encounter a Crocodile","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/crocodile_chestplate","[Cover me with... scutes?]","Craft a crocodile chestplate from many crocodile scutes","alexsmobs:alexsmobs/breed_crocodile"
