"ID","Registry name","Tags"
0,"biomeswevegone:allium_shrubland","biomeswevegone:overworld, minecraft:is_overworld, naturalist:has_robin, naturalist:has_butterfly, c:in_overworld, forge:is_generalnotempcave, fishofthieves:spawns_devilfish, forge:is_goblin, naturalist:has_firefly, forge:is_general, forge:is_generalcave, forge:is_generalnotemp, fishofthieves:spawns_battlegills, delightful:mini_melon_spawns, forge:is_eyestalker, naturalist:has_snake, forge:is_plains, biomeswevegone:floral, naturalist:has_snail, minecraft:has_structure/stronghold, biomeswevegone:plains, exoticbirds:is_hummingbird_spawn, forge:overworld/in, naturalist:has_sparrow, exoticbirds:is_peafowl_spawn"
1,"regions_unexplored:alpha_grove","naturalist:has_snail, naturalist:has_boar, wildernature:spawns_owl, minecraft:without_patrol_spawns, twigs:spawns_twig, forge:is_flutterfly, naturalist:has_finch, forge:is_generalcave, fishofthieves:spawns_battlegills, naturalist:has_cardinal, naturalist:has_firefly, forge:is_general, naturalist:has_butterfly, spawn:small_anthill_generates, wildernature:spawns_deer, fishofthieves:spawns_pondies, naturalist:has_robin, wildernature:spawns_turkey, forge:is_generalnotempcave, wildernature:spawns_hedgehog, fishofthieves:spawns_devilfish, naturalist:has_lizard, naturalist:has_deer, forge:overworld/in, crittersandcompanions:silk_cocoon_spawns, forge:is_generalnotemp, naturalist:has_bear, minecraft:is_forest, naturalist:has_snake, c:in_overworld, minecraft:has_structure/stronghold, exoticbirds:is_forest_bird_spawn, exoticbirds:is_peafowl_spawn, delightful:salmonberry_spawns, goodending:spicy_wildflower_generates, immersive_weathering:has_ivy, minecraft:has_structure/ruined_portal_standard, dynamictrees:is_bee_nest_rare, forge:is_rare, minecraft:without_zombie_sieges, minecraft:has_structure/mineshaft, minecraft:is_overworld, waddles:spawn_exclude, exoticbirds:is_hummingbird_spawn, minecraft:without_wandering_trader_spawns, vinery:spawns_grape, c:forest, forge:is_goblin, wildernature:spawns_boar, forge:forest, exoticbirds:is_tropic_bird_spawn, bakery:spawns_strawberries"
2,"terralith:alpha_islands","fishofthieves:spawns_battlegills, c:climate_temperate, c:tree_deciduous, minecraft:has_structure/stronghold, minecraft:has_structure/mineshaft, forge:temperate/climate, c:in_overworld, minecraft:is_overworld, fishofthieves:spawns_devilfish, forge:deciduous/tree, forge:is_rare, terralith:all_terralith_biomes, forge:overworld/in"
3,"terralith:alpha_islands_winter","fruitsdelight:plants/hawberry_biomes, forge:snowy, c:snowy, fruitsdelight:plants/blueberry_biomes, biome_tag_villagers:villager_snowy, c:in_overworld, forge:overworld/in, minecraft:has_structure/mineshaft, minecraft:has_structure/stronghold, fruitsdelight:compat/cold, forge:is_rare, fruitsdelight:plants/persimmon_biomes, forge:cold/climate, forge:is_snowy, waddles:spawn_include, backported_wolves:spawns_snowy_wolf, minecraft:is_overworld, forge:is_generalcave, forge:deciduous/tree, forge:is_cold/overworld, naturalist:has_bluejay, c:tree_deciduous, fishofthieves:spawns_battlegills, terralith:all_terralith_biomes, immersive_weathering:icy, minecraft:spawns_cold_variant_frogs, forge:is_cold, c:climate_cold, forge:is_general, fishofthieves:spawns_devilfish, alexsmobs:spawns_white_seals"
4,"terralith:alpine_grove","exoticbirds:is_forest_bird_spawn, croptopia:has_crop/blackberry, fishofthieves:spawns_devilfish, c:vegetation_sparse, croptopia:has_crop/onion, bakery:spawns_strawberries, forge:is_mountain, forge:slope/mountain, forge:is_generalnotemp, minecraft:spawns_cold_variant_frogs, minecraft:is_overworld, naturalist:has_boar, wildernature:spawns_boar, fishofthieves:spawns_battlegills, forge:is_coniferous, c:forest, immersive_weathering:icy, forge:is_cold, naturalist:has_snake, naturalist:has_bluejay, minecraft:has_structure/mineshaft, biome_tag_villagers:villager_snowy, twigs:spawns_twig, c:in_overworld, forge:sparse/vegetation, forge:is_generalcave, c:climate_cold, projectvibrantjourneys:has_logs/spruce, naturalist:has_cardinal, waddles:spawn_exclude, minecraft:has_structure/stronghold, exoticbirds:is_hummingbird_spawn, forge:cold/climate, minecraft:is_forest, minecraft:has_structure/ruined_portal_standard, forge:is_sparse, forge:is_goblin, c:snowy, delightful:salmonberry_spawns, waddles:spawn_include, spawn:small_anthill_generates, fruitsdelight:compat/cold, naturalist:has_snail, exoticbirds:is_tropic_bird_spawn, forge:is_flutterfly, wildernature:spawns_turkey, backported_wolves:spawns_snowy_wolf, c:mountain_slope, forge:coniferous/tree, croptopia:has_crop/squash, forge:is_slope, exoticbirds:is_peafowl_spawn, alexsmobs:spawns_white_seals, fruitsdelight:plants/persimmon_biomes, naturalist:has_canary, terralith:has_structure/rubble_taiga, c:tree_coniferous, forge:forest, crittersandcompanions:silk_cocoon_spawns, naturalist:has_firefly, immersive_weathering:has_ivy, wildernature:spawns_owl, forge:is_general, forge:is_snowy, dynamictrees:is_bee_nest_rare, terralith:all_terralith_biomes_no_mineshafts, forge:overworld/in, vinery:spawns_grape, twigs:schist_generates, fruitsdelight:plants/hawberry_biomes, fruitsdelight:plants/blueberry_biomes, naturalist:has_deer, forge:is_generalnotempcave, wildernature:spawns_deer, forge:snowy, fishofthieves:spawns_pondies, naturalist:has_lizard, terralith:all_terralith_biomes, forge:is_sparse/overworld, naturalist:has_butterfly, forge:is_cold/overworld, wildernature:spawns_hedgehog, goodending:spicy_wildflower_generates, naturalist:has_bear, naturalist:has_finch, naturalist:has_robin"
5,"terralith:alpine_highlands","delightful:mini_melon_spawns, exoticbirds:is_peafowl_spawn, naturalist:has_robin, c:taiga, forge:is_plateau, croptopia:has_crop/blackberry, biome_tag_villagers:villager_taiga, naturalist:has_snail, forge:overworld/in, forge:is_generalnotempcave, forge:is_dry/overworld, terralith:has_structure/rubble_forest, terralith:all_terralith_biomes, projectvibrantjourneys:has_logs/birch, forge:is_cold, forge:is_eyestalker, forge:is_cold/overworld, exoticbirds:is_hummingbird_spawn, naturalist:has_bear, terralith:highlands, minecraft:has_structure/stronghold, forge:is_goblin, forge:is_generalnotemp, forge:is_coniferous, fruitsdelight:plants/persimmon_biomes, fruitsdelight:compat/cold, fishofthieves:spawns_battlegills, croptopia:has_crop/blueberry, forge:is_dry, naturalist:has_bluejay, c:tree_coniferous, tumbleweed:whitelist, c:climate_cold, forge:taiga, minecraft:has_structure/village_taiga, croptopia:has_crop/strawberry, forge:is_generalcave, forge:dry/climate, terralith:has_structure/fortified_village, naturalist:has_firefly, naturalist:has_snake, fruitsdelight:plants/blueberry_biomes, c:climate_dry, forge:is_general, forge:cold/climate, terralith:all_terralith_biomes_no_mineshafts, projectvibrantjourneys:has_logs/spruce, immersive_weathering:hot, minecraft:has_structure/mineshaft, naturalist:has_sparrow, c:in_overworld, fruitsdelight:plants/hawberry_biomes, naturalist:has_butterfly, forge:coniferous/tree, minecraft:is_overworld, forge:is_plains, c:tree_deciduous, fishofthieves:spawns_devilfish, forge:deciduous/tree"
6,"biomeswevegone:amaranth_grassland","delightful:mini_melon_spawns, biomeswevegone:plains, naturalist:has_firefly, naturalist:has_butterfly, forge:is_general, minecraft:is_overworld, forge:is_generalnotemp, forge:is_goblin, minecraft:has_structure/stronghold, naturalist:has_snail, naturalist:has_snake, forge:is_sparse, forge:is_generalnotempcave, forge:is_sparse/overworld, forge:is_generalcave, forge:overworld/in, biomeswevegone:floral, naturalist:has_robin, biomeswevegone:overworld, c:in_overworld, forge:is_eyestalker, biomeswevegone:density/sparse, forge:is_plains, exoticbirds:is_hummingbird_spawn, fishofthieves:spawns_devilfish, exoticbirds:is_peafowl_spawn, naturalist:has_sparrow, fishofthieves:spawns_battlegills"
7,"terralith:amethyst_canyon","forge:shores/stony, terralith:mystical, forge:savanna/tree, biome_tag_villagers:villager_jungle, immersive_weathering:wet, forge:is_generalcave, c:stony_shores, exoticbirds:is_hummingbird_spawn, forge:jungle, c:tree_jungle, c:tree_savanna, naturalist:has_canary, forge:is_general, twigs:schist_generates, exoticbirds:is_pelican_spawn, naturalist:has_robin, forge:overworld/in, forge:hot/climate, naturalist:has_coral_snake, naturalist:has_hippo, immersive_weathering:hot, c:climate_wet, c:jungle, exoticbirds:is_cassowary_spawn, croptopia:has_crop/vanilla, forge:dense/vegetation, forge:is_wet, goodending:balmy_wildflower_generates, minecraft:is_jungle, c:vegetation_dense, forge:is_mountain, minecraft:spawns_warm_variant_frogs, vinery:spawns_jungle_grape, minecraft:has_structure/mineshaft, forge:slope/mountain, terralith:all_terralith_biomes_no_mineshafts, fishofthieves:spawns_devilfish, minecraft:is_overworld, forge:is_slope, c:climate_hot, fishofthieves:spawns_moss_islehoppers, naturalist:has_tortoise, forge:is_hot, fishofthieves:spawns_islehoppers, minecraft:has_structure/stronghold, forge:wet/climate, naturalist:has_bluejay, minecraft:has_structure/ruined_portal_jungle, fishofthieves:spawns_battlegills, upgrade_aquatic:has_feature/pickerelweed, terralith:all_terralith_biomes, crittersandcompanions:silk_cocoon_spawns, c:mountain_slope, forge:is_wet/overworld, forge:jungle/tree, fishofthieves:spawns_wildsplash, exoticbirds:is_peafowl_spawn, croptopia:has_crop/greenonion, forge:is_hot/overworld, exoticbirds:is_tropic_bird_spawn, naturalist:has_lizard, terralith:has_structure/mage_tower, immersive_weathering:has_loam, exoticbirds:is_dry_tropic_bird_spawn, projectvibrantjourneys:has_logs/acacia, c:in_overworld, croptopia:has_crop/rice, naturalist:has_snail, bakery:spawns_strawberries"
8,"terralith:amethyst_rainforest","forge:is_wet/overworld, fruitsdelight:plants/peach_biomes, c:in_overworld, terralith:mystical, immersive_weathering:wet, minecraft:has_structure/mineshaft, croptopia:has_crop/vanilla, naturalist:has_coral_snake, minecraft:is_jungle, biome_tag_villagers:villager_jungle, terralith:has_structure/rubble_jungle, fishofthieves:spawns_battlegills, minecraft:has_structure/stronghold, exoticbirds:is_pelican_spawn, croptopia:has_crop/greenonion, croptopia:has_crop/rice, fishofthieves:spawns_islehoppers, c:tree_jungle, exoticbirds:is_hummingbird_spawn, forge:jungle/tree, fishofthieves:spawns_devilfish, minecraft:is_overworld, immersive_weathering:hot, fruitsdelight:plants/cranberry_biomes, vinery:spawns_jungle_grape, naturalist:has_lizard, terralith:all_terralith_biomes_no_mineshafts, forge:is_wet, exoticbirds:is_dry_tropic_bird_spawn, fruitsdelight:plants/lychee_biomes, c:climate_wet, bakery:spawns_strawberries, forge:is_general, c:jungle, terralith:has_structure/mage_complex, forge:is_generalcave, forge:jungle, minecraft:has_structure/ruined_portal_jungle, forge:dense/vegetation, minecraft:spawns_warm_variant_frogs, exoticbirds:is_tropic_bird_spawn, exoticbirds:is_peafowl_spawn, c:tree_savanna, c:vegetation_dense, naturalist:has_hippo, forge:is_hot, exoticbirds:is_cassowary_spawn, fishofthieves:spawns_moss_islehoppers, c:climate_hot, fruitsdelight:plants/mango_biomes, crittersandcompanions:silk_cocoon_spawns, forge:savanna/tree, forge:hot/climate, fruitsdelight:compat/hot_humid, fruitsdelight:plants/mangosteen_biomes, fishofthieves:spawns_wildsplash, immersive_weathering:has_loam, terralith:all_terralith_biomes, upgrade_aquatic:has_feature/pickerelweed, fruitsdelight:plants/bayberry_biomes, forge:overworld/in, forge:wet/climate, forge:is_hot/overworld, fruitsdelight:plants/durian_biomes, projectvibrantjourneys:has_logs/acacia, goodending:balmy_wildflower_generates, naturalist:has_tortoise"
9,"regions_unexplored:ancient_delta","forge:is_underground, forge:is_cave, forge:is_lush, minecraft:stronghold_biased_to, minecraft:has_structure/ruined_portal_standard, c:in_overworld, minecraft:has_structure/stronghold, fishofthieves:spawns_devilfish, fishofthieves:spawns_battlegills, minecraft:allows_tropical_fish_spawns_at_any_height, naturalist:has_snail, forge:is_generalnotempcave, forge:overworld/in, forge:is_generalcave, minecraft:is_overworld"
