"Registry name","Map color (hex)","Map color (int)"
"adchimneys:cobblestone_chimney","#000000","0"
"adchimneys:glass_chimney","#000000","0"
"adchimneys:large_brick_chimney","#000000","0"
"adchimneys:metal_chimney","#000000","0"
"adchimneys:metal_pump","#000000","0"
"adchimneys:metal_vent","#000000","0"
"adchimneys:pipe","#000000","0"
"adchimneys:small_brick_chimney","#000000","0"
"adchimneys:stone_chimney","#000000","0"
"adchimneys:stone_pump","#000000","0"
"adchimneys:stone_vent","#000000","0"
"additionallanterns:amethyst_chain","#000000","0"
"additionallanterns:amethyst_lantern","#A7A7A7","10987431"
"additionallanterns:andesite_chain","#000000","0"
"additionallanterns:andesite_lantern","#A7A7A7","10987431"
"additionallanterns:basalt_chain","#000000","0"
"additionallanterns:basalt_lantern","#A7A7A7","10987431"
"additionallanterns:black_amethyst_lantern","#A7A7A7","10987431"
"additionallanterns:black_andesite_lantern","#A7A7A7","10987431"
"additionallanterns:black_basalt_lantern","#A7A7A7","10987431"
"additionallanterns:black_blackstone_lantern","#A7A7A7","10987431"
"additionallanterns:black_bone_lantern","#A7A7A7","10987431"
"additionallanterns:black_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:black_cobbled_deepslate_lantern","#A7A7A7","10987431"
"additionallanterns:black_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:black_copper_lantern","#A7A7A7","10987431"
"additionallanterns:black_crimson_lantern","#A7A7A7","10987431"
"additionallanterns:black_dark_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:black_deepslate_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:black_diamond_lantern","#A7A7A7","10987431"
"additionallanterns:black_diorite_lantern","#A7A7A7","10987431"
"additionallanterns:black_emerald_lantern","#A7A7A7","10987431"
"additionallanterns:black_end_stone_lantern","#A7A7A7","10987431"
"additionallanterns:black_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:black_gold_lantern","#A7A7A7","10987431"
"additionallanterns:black_granite_lantern","#A7A7A7","10987431"
"additionallanterns:black_iron_lantern","#A7A7A7","10987431"
"additionallanterns:black_mossy_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:black_netherite_lantern","#A7A7A7","10987431"
"additionallanterns:black_normal_lantern","#A7A7A7","10987431"
"additionallanterns:black_normal_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:black_normal_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:black_obsidian_lantern","#A7A7A7","10987431"
"additionallanterns:black_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:black_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:black_purpur_lantern","#A7A7A7","10987431"
"additionallanterns:black_quartz_lantern","#A7A7A7","10987431"
"additionallanterns:black_red_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:black_red_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:black_smooth_stone_lantern","#A7A7A7","10987431"
"additionallanterns:black_stone_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:black_stone_lantern","#A7A7A7","10987431"
