"Mod name","Registry name","Item ID","Display name"
"Minecraft","minecraft:acacia_button","minecraft:acacia_button","Acacia Button"
"Minecraft","minecraft:acacia_door","minecraft:acacia_door","Acacia Door"
"Minecraft","minecraft:acacia_fence","minecraft:acacia_fence","Acacia Fence"
"Minecraft","minecraft:acacia_fence_gate","minecraft:acacia_fence_gate","Acacia Fence Gate"
"Minecraft","minecraft:acacia_hanging_sign","minecraft:acacia_hanging_sign","Acacia Hanging Sign"
"Minecraft","minecraft:acacia_leaves","minecraft:acacia_leaves","Acacia Leaves"
"Minecraft","minecraft:acacia_log","minecraft:acacia_log","Acacia Log"
"Minecraft","minecraft:acacia_planks","minecraft:acacia_planks","Acacia Planks"
"Minecraft","minecraft:acacia_pressure_plate","minecraft:acacia_pressure_plate","Acacia Pressure Plate"
"Minecraft","minecraft:acacia_sapling","minecraft:acacia_sapling","Acacia Sapling"
"Minecraft","minecraft:acacia_sign","minecraft:acacia_sign","Acacia Sign"
"Minecraft","minecraft:acacia_slab","minecraft:acacia_slab","Acacia Slab"
"Minecraft","minecraft:acacia_stairs","minecraft:acacia_stairs","Acacia Stairs"
"Minecraft","minecraft:acacia_trapdoor","minecraft:acacia_trapdoor","Acacia Trapdoor"
"Minecraft","minecraft:acacia_wall_hanging_sign","minecraft:acacia_hanging_sign","Acacia Hanging Sign"
"Minecraft","minecraft:acacia_wall_sign","minecraft:acacia_sign","Acacia Sign"
"Minecraft","minecraft:acacia_wood","minecraft:acacia_wood","Acacia Wood"
"Minecraft","minecraft:activator_rail","minecraft:activator_rail","Activator Rail"
"Minecraft","minecraft:air","","Air"
"Minecraft","minecraft:allium","minecraft:allium","Allium"
"Minecraft","minecraft:amethyst_block","minecraft:amethyst_block","Block of Amethyst"
"Minecraft","minecraft:amethyst_cluster","minecraft:amethyst_cluster","Amethyst Cluster"
"Minecraft","minecraft:ancient_debris","minecraft:ancient_debris","Ancient Debris"
"Minecraft","minecraft:andesite","minecraft:andesite","Andesite"
"Minecraft","minecraft:andesite_slab","minecraft:andesite_slab","Andesite Slab"
"Minecraft","minecraft:andesite_stairs","minecraft:andesite_stairs","Andesite Stairs"
"Minecraft","minecraft:andesite_wall","minecraft:andesite_wall","Andesite Wall"
"Minecraft","minecraft:anvil","minecraft:anvil","Anvil"
"Minecraft","minecraft:attached_melon_stem","","Attached Melon Stem"
"Minecraft","minecraft:attached_pumpkin_stem","","Attached Pumpkin Stem"
"Minecraft","minecraft:azalea","minecraft:azalea","Azalea"
"Minecraft","minecraft:azalea_leaves","minecraft:azalea_leaves","Azalea Leaves"
"Minecraft","minecraft:azure_bluet","minecraft:azure_bluet","Azure Bluet"
"Minecraft","minecraft:bamboo","minecraft:bamboo","Bamboo"
"Minecraft","minecraft:bamboo_block","minecraft:bamboo_block","Block of Bamboo"
"Minecraft","minecraft:bamboo_button","minecraft:bamboo_button","Bamboo Button"
"Minecraft","minecraft:bamboo_door","minecraft:bamboo_door","Bamboo Door"
"Minecraft","minecraft:bamboo_fence","minecraft:bamboo_fence","Bamboo Fence"
