"Mod name","Registry name","ID"
"Minecraft","minecraft:allay",0
"Minecraft","minecraft:area_effect_cloud",1
"Minecraft","minecraft:armor_stand",2
"Minecraft","minecraft:arrow",3
"Minecraft","minecraft:axolotl",4
"Minecraft","minecraft:bat",5
"Minecraft","minecraft:bee",6
"Minecraft","minecraft:blaze",7
"Minecraft","minecraft:block_display",8
"Minecraft","minecraft:boat",9
"Minecraft","minecraft:camel",10
"Minecraft","minecraft:cat",11
"Minecraft","minecraft:cave_spider",12
"Minecraft","minecraft:chest_boat",13
"Minecraft","minecraft:chest_minecart",14
"Minecraft","minecraft:chicken",15
"Minecraft","minecraft:cod",16
"Minecraft","minecraft:command_block_minecart",17
"Minecraft","minecraft:cow",18
"Minecraft","minecraft:creeper",19
"Minecraft","minecraft:dolphin",20
"Minecraft","minecraft:donkey",21
"Minecraft","minecraft:dragon_fireball",22
"Minecraft","minecraft:drowned",23
"Minecraft","minecraft:egg",24
"Minecraft","minecraft:elder_guardian",25
"Minecraft","minecraft:end_crystal",26
"Minecraft","minecraft:ender_dragon",27
"Minecraft","minecraft:ender_pearl",28
"Minecraft","minecraft:enderman",29
"Minecraft","minecraft:endermite",30
"Minecraft","minecraft:evoker",31
"Minecraft","minecraft:evoker_fangs",32
"Minecraft","minecraft:experience_bottle",33
"Minecraft","minecraft:experience_orb",34
"Minecraft","minecraft:eye_of_ender",35
"Minecraft","minecraft:falling_block",36
"Minecraft","minecraft:fireball",57
"Minecraft","minecraft:firework_rocket",37
"Minecraft","minecraft:fishing_bobber",123
"Minecraft","minecraft:fox",38
"Minecraft","minecraft:frog",39
"Minecraft","minecraft:furnace_minecart",40
"Minecraft","minecraft:ghast",41
"Minecraft","minecraft:giant",42
"Minecraft","minecraft:glow_item_frame",43
"Minecraft","minecraft:glow_squid",44
"Minecraft","minecraft:goat",45
"Minecraft","minecraft:guardian",46
"Minecraft","minecraft:hoglin",47
"Minecraft","minecraft:hopper_minecart",48
"Minecraft","minecraft:horse",49
"Minecraft","minecraft:husk",50
"Minecraft","minecraft:illusioner",51
"Minecraft","minecraft:interaction",52
"Minecraft","minecraft:iron_golem",53
"Minecraft","minecraft:item",54
"Minecraft","minecraft:item_display",55
"Minecraft","minecraft:item_frame",56
"Minecraft","minecraft:leash_knot",58
"Minecraft","minecraft:lightning_bolt",59
"Minecraft","minecraft:llama",60
"Minecraft","minecraft:llama_spit",61
"Minecraft","minecraft:magma_cube",62
"Minecraft","minecraft:marker",63
"Minecraft","minecraft:minecart",64
"Minecraft","minecraft:mooshroom",65
"Minecraft","minecraft:mule",66
"Minecraft","minecraft:ocelot",67
"Minecraft","minecraft:painting",68
"Minecraft","minecraft:panda",69
"Minecraft","minecraft:parrot",70
"Minecraft","minecraft:phantom",71
"Minecraft","minecraft:pig",72
"Minecraft","minecraft:piglin",73
"Minecraft","minecraft:piglin_brute",74
"Minecraft","minecraft:pillager",75
"Minecraft","minecraft:player",122
"Minecraft","minecraft:polar_bear",76
"Minecraft","minecraft:potion",77
"Minecraft","minecraft:pufferfish",78
"Minecraft","minecraft:rabbit",79
"Minecraft","minecraft:ravager",80
"Minecraft","minecraft:salmon",81
"Minecraft","minecraft:sheep",82
"Minecraft","minecraft:shulker",83
"Minecraft","minecraft:shulker_bullet",84
"Minecraft","minecraft:silverfish",85
"Minecraft","minecraft:skeleton",86
"Minecraft","minecraft:skeleton_horse",87
"Minecraft","minecraft:slime",88
"Minecraft","minecraft:small_fireball",89
"Minecraft","minecraft:sniffer",90
"Minecraft","minecraft:snow_golem",91
"Minecraft","minecraft:snowball",92
"Minecraft","minecraft:spawner_minecart",93
"Minecraft","minecraft:spectral_arrow",94
"Minecraft","minecraft:spider",95
"Minecraft","minecraft:squid",96
"Minecraft","minecraft:stray",97
"Minecraft","minecraft:strider",98
"Minecraft","minecraft:tadpole",99
"Minecraft","minecraft:text_display",100
"Minecraft","minecraft:tnt",101
"Minecraft","minecraft:tnt_minecart",102
"Minecraft","minecraft:trader_llama",103
"Minecraft","minecraft:trident",104
"Minecraft","minecraft:tropical_fish",105
"Minecraft","minecraft:turtle",106
"Minecraft","minecraft:vex",107
"Minecraft","minecraft:villager",108
"Minecraft","minecraft:vindicator",109
"Minecraft","minecraft:wandering_trader",110
"Minecraft","minecraft:warden",111
"Minecraft","minecraft:witch",112
"Minecraft","minecraft:wither",113
"Minecraft","minecraft:wither_skeleton",114
"Minecraft","minecraft:wither_skull",115
"Minecraft","minecraft:wolf",116
"Minecraft","minecraft:zoglin",117
"Minecraft","minecraft:zombie",118
"Minecraft","minecraft:zombie_horse",119
"Minecraft","minecraft:zombie_villager",120
"Minecraft","minecraft:zombified_piglin",121
"Unknown","adpother:gas",429
"Unknown","adpother:purified_air",430
"Unknown","alexsmobs:alligator_snapping_turtle",902
"Unknown","alexsmobs:anaconda",941
"Unknown","alexsmobs:anaconda_part",942
"Unknown","alexsmobs:anteater",944
"Unknown","alexsmobs:bald_eagle",924
"Unknown","alexsmobs:banana_slug",976
"Unknown","alexsmobs:bison",954
"Unknown","alexsmobs:blobfish",892
"Unknown","alexsmobs:blue_jay",977
"Unknown","alexsmobs:bone_serpent",866
"Unknown","alexsmobs:bone_serpent_part",867
"Unknown","alexsmobs:bunfungus",953
"Unknown","alexsmobs:cachalot_echo",920
"Unknown","alexsmobs:cachalot_whale",919
"Unknown","alexsmobs:caiman",978
"Unknown","alexsmobs:capuchin_monkey",883
"Unknown","alexsmobs:catfish",959
"Unknown","alexsmobs:centipede_body",886
"Unknown","alexsmobs:centipede_head",885
"Unknown","alexsmobs:centipede_tail",887
"Unknown","alexsmobs:cockroach",894
"Unknown","alexsmobs:cockroach_egg",895
"Unknown","alexsmobs:comb_jelly",951
"Unknown","alexsmobs:cosmaw",938
"Unknown","alexsmobs:cosmic_cod",952
"Unknown","alexsmobs:crimson_mosquito",875
"Unknown","alexsmobs:crocodile",869
"Unknown","alexsmobs:crow",901
"Unknown","alexsmobs:devils_hole_pupfish",958
"Unknown","alexsmobs:dropbear",916
"Unknown","alexsmobs:elephant",897
"Unknown","alexsmobs:emu",913
"Unknown","alexsmobs:emu_egg",914
"Unknown","alexsmobs:endergrade",878
"Unknown","alexsmobs:enderiophage",922
"Unknown","alexsmobs:enderiophage_rocket",923
"Unknown","alexsmobs:farseer",968
"Unknown","alexsmobs:fart",975
"Unknown","alexsmobs:flutter",946
"Unknown","alexsmobs:fly",870
"Unknown","alexsmobs:flying_fish",960
"Unknown","alexsmobs:frilled_shark",931
"Unknown","alexsmobs:froststalker",934
"Unknown","alexsmobs:gazelle",868
"Unknown","alexsmobs:gelada_monkey",948
"Unknown","alexsmobs:giant_squid",955
