"Mod name","Registry name","Item ID","Display name","Recipe name","Tags"
"Minecraft","biomeswevegone:allium_petal_block",14022,"Allium Petal Block","minecraft:allium_petal_block",""
"Minecraft","biomeswevegone:black_sandstone_slab",13931,"Black Sandstone Slab","minecraft:black_sandstone_slab_from_black_sandstone_stonecutting","biomeswevegone:black_sandstone_slabs, minecraft:slabs"
"Minecraft","biomeswevegone:black_sandstone_stairs",13932,"Black Sandstone Stairs","minecraft:black_sandstone_stairs_from_black_sandstone_stonecutting","minecraft:stairs, biomeswevegone:black_sandstone_stairs"
"Minecraft","biomeswevegone:black_sandstone_wall",13933,"Black Sandstone Wall","minecraft:black_sandstone_wall_from_black_sandstone_stonecutting","minecraft:walls"
"Minecraft","biomeswevegone:blue_sandstone_slab",13953,"Blue Sandstone Slab","minecraft:blue_sandstone_slab_from_blue_sandstone_stonecutting","minecraft:slabs, biomeswevegone:blue_sandstone_slabs"
"Minecraft","biomeswevegone:blue_sandstone_stairs",13954,"Blue Sandstone Stairs","minecraft:blue_sandstone_stairs_from_blue_sandstone_stonecutting","biomeswevegone:blue_sandstone_stairs, minecraft:stairs"
"Minecraft","biomeswevegone:blue_sandstone_wall",13955,"Blue Sandstone Wall","minecraft:blue_sandstone_wall_from_blue_sandstone_stonecutting","minecraft:walls"
"Minecraft","biomeswevegone:chiseled_black_sandstone",13934,"Chiseled Black Sandstone","minecraft:chiseled_black_sandstone_from_black_sandstone_stonecutting","biomeswevegone:black_sandstone_blocks, forge:sandstone"
"Minecraft","biomeswevegone:chiseled_blue_sandstone",13956,"Chiseled Blue Sandstone","minecraft:chiseled_blue_sandstone_from_blue_sandstone_stonecutting","biomeswevegone:blue_sandstone_blocks, forge:sandstone"
"Minecraft","biomeswevegone:chiseled_pink_sandstone",13978,"Chiseled Pink Sandstone","minecraft:chiseled_pink_sandstone_from_pink_sandstone_stonecutting","biomeswevegone:pink_sandstone_blocks, forge:sandstone"
"Minecraft","biomeswevegone:chiseled_purple_sandstone",13967,"Chiseled Purple Sandstone","minecraft:chiseled_purple_sandstone_from_purple_sandstone_stonecutting","biomeswevegone:purple_sandstone_blocks, forge:sandstone"
"Minecraft","biomeswevegone:chiseled_red_rock_brick_slab",14139,"Chiseled Red Rock Brick Slab","minecraft:chiseled_red_rock_brick_slab_from_chiseled_red_rock_bricks_stonecutting","minecraft:slabs"
"Minecraft","biomeswevegone:chiseled_red_rock_brick_stairs",14140,"Chiseled Red Rock Brick Stairs","minecraft:chiseled_red_rock_brick_stairs_from_chiseled_red_rock_bricks_stonecutting","minecraft:stairs"
"Minecraft","biomeswevegone:chiseled_red_rock_brick_wall",14141,"Chiseled Red Rock Brick Wall","minecraft:chiseled_red_rock_brick_wall_from_chiseled_red_rock_bricks_stonecutting","minecraft:walls"
"Minecraft","biomeswevegone:chiseled_white_sandstone",13945,"Chiseled White Sandstone","minecraft:chiseled_white_sandstone_from_white_sandstone_stonecutting","biomeswevegone:white_sandstone_blocks, forge:sandstone"
"Minecraft","biomeswevegone:chiseled_windswept_sandstone",13989,"Chiseled Windswept Sandstone","minecraft:chiseled_windswept_sandstone_from_windswept_sandstone_stonecutting","biomeswevegone:windswept_sandstone_blocks, forge:sandstone"
"Minecraft","biomeswevegone:cracked_red_rock_brick_slab",14135,"Cracked Red Rock Brick Slab","minecraft:cracked_red_rock_brick_slab_from_cracked_red_rock_bricks_stonecutting","minecraft:slabs"
"Minecraft","biomeswevegone:cracked_red_rock_brick_stairs",14136,"Cracked Red Rock Brick Stairs","minecraft:cracked_red_rock_brick_stairs_from_cracked_red_rock_bricks_stonecutting","minecraft:stairs"
"Minecraft","biomeswevegone:cracked_red_rock_brick_wall",14137,"Cracked Red Rock Brick Wall","minecraft:cracked_red_rock_brick_wall_from_cracked_red_rock_bricks_stonecutting","minecraft:walls"
"Minecraft","biomeswevegone:cut_black_sandstone",13938,"Cut Black Sandstone","minecraft:cut_black_sandstone_from_black_sandstone_stonecutting","biomeswevegone:black_sandstone_blocks, forge:sandstone"
"Minecraft","biomeswevegone:cut_black_sandstone_slab",13939,"Cut Black Sandstone Slab","minecraft:cut_black_sandstone_slab_from_black_sandstone_stonecutting","biomeswevegone:black_sandstone_slabs, minecraft:slabs"
"Minecraft","biomeswevegone:cut_black_sandstone_slab",13939,"Cut Black Sandstone Slab","minecraft:cut_black_sandstone_slab_from_cut_black_sandstone_stonecutting","biomeswevegone:black_sandstone_slabs, minecraft:slabs"
"Minecraft","biomeswevegone:cut_blue_sandstone",13960,"Cut Blue Sandstone","minecraft:cut_blue_sandstone_from_blue_sandstone_stonecutting","biomeswevegone:blue_sandstone_blocks, forge:sandstone"
"Minecraft","biomeswevegone:cut_blue_sandstone_slab",13961,"Cut Blue Sandstone Slab","minecraft:cut_blue_sandstone_slab_from_blue_sandstone_stonecutting","minecraft:slabs, biomeswevegone:blue_sandstone_slabs"
"Minecraft","biomeswevegone:cut_blue_sandstone_slab",13961,"Cut Blue Sandstone Slab","minecraft:cut_blue_sandstone_slab_from_cut_blue_sandstone_stonecutting","minecraft:slabs, biomeswevegone:blue_sandstone_slabs"
"Minecraft","biomeswevegone:cut_pink_sandstone",13982,"Cut Pink Sandstone","minecraft:cut_pink_sandstone_from_pink_sandstone_stonecutting","biomeswevegone:pink_sandstone_blocks, forge:sandstone"
"Minecraft","biomeswevegone:cut_pink_sandstone_slab",13983,"Cut Pink Sandstone Slab","minecraft:cut_pink_sandstone_slab_from_cut_pink_sandstone_stonecutting","biomeswevegone:pink_sandstone_slabs, minecraft:slabs"
"Minecraft","biomeswevegone:cut_pink_sandstone_slab",13983,"Cut Pink Sandstone Slab","minecraft:cut_pink_sandstone_slab_from_pink_sandstone_stonecutting","biomeswevegone:pink_sandstone_slabs, minecraft:slabs"
"Minecraft","biomeswevegone:cut_purple_sandstone",13971,"Cut Purple Sandstone","minecraft:cut_purple_sandstone_from_purple_sandstone_stonecutting","biomeswevegone:purple_sandstone_blocks, forge:sandstone"
