"Mod name","Registry name","Item ID","Display name","Durability","Tags"
"Minecraft","minecraft:bow",760,"Bow",384,"forge:tools/bows, c:bows, bookshelf:bows, forge:bows, forge:tools"
"Minecraft","minecraft:brush",1217,"Brush",64,""
"Minecraft","minecraft:carrot_on_a_stick",733,"Carrot on a Stick",25,""
"Minecraft","minecraft:chainmail_boots",823,"Chainmail Boots",195,"bookshelf:armor, forge:armor, minecraft:trimmable_armor, bookshelf:boots, forge:armors/boots, forge:boots, forge:armors"
"Minecraft","minecraft:chainmail_chestplate",821,"Chainmail Chestplate",240,"bookshelf:armor, forge:armor, minecraft:trimmable_armor, bookshelf:chestplates, forge:chestplates, forge:armors/chestplates, forge:armors"
"Minecraft","minecraft:chainmail_helmet",820,"Chainmail Helmet",165,"bookshelf:armor, forge:helmets, forge:armor, minecraft:trimmable_armor, forge:armors/helmets, bookshelf:helmets, forge:armors"
"Minecraft","minecraft:chainmail_leggings",822,"Chainmail Leggings",225,"bookshelf:armor, bookshelf:leggings, forge:armor, forge:armors/leggings, minecraft:trimmable_armor, forge:leggings, forge:armors"
"Minecraft","minecraft:crossbow",1143,"Crossbow",465,"bookshelf:crossbows, forge:crossbows, forge:tools/bows, c:bows, forge:tools/crossbows, forge:tools"
"Minecraft","minecraft:diamond_axe",800,"Diamond Axe",1561,"notreepunching:weak_saws, c:axes, forge:tools/axes, minecraft:axes, forge:tools, minecraft:tools, minecraft:breaks_decorated_pots"
"Minecraft","minecraft:diamond_boots",831,"Diamond Boots",429,"bookshelf:armor, forge:armor, minecraft:trimmable_armor, bookshelf:boots, forge:armors/boots, forge:boots, forge:armors"
"Minecraft","minecraft:diamond_chestplate",829,"Diamond Chestplate",528,"bookshelf:armor, forge:armor, minecraft:trimmable_armor, bookshelf:chestplates, forge:chestplates, forge:armors/chestplates, forge:armors"
"Minecraft","minecraft:diamond_helmet",828,"Diamond Helmet",363,"bookshelf:armor, forge:helmets, forge:armor, minecraft:trimmable_armor, forge:armors/helmets, bookshelf:helmets, forge:armors"
"Minecraft","minecraft:diamond_hoe",801,"Diamond Hoe",1561,"terralith:spire/rare_tools, c:hoes, forge:tools, minecraft:tools, minecraft:hoes, quark:big_harvesting_hoes, minecraft:breaks_decorated_pots"
"Minecraft","minecraft:diamond_leggings",830,"Diamond Leggings",495,"bookshelf:armor, bookshelf:leggings, forge:armor, forge:armors/leggings, minecraft:trimmable_armor, forge:leggings, forge:armors"
"Minecraft","minecraft:diamond_pickaxe",799,"Diamond Pickaxe",1561,"forge:tools/pickaxes, minecraft:cluster_max_harvestables, forge:tools, minecraft:tools, c:pickaxes, minecraft:breaks_decorated_pots, minecraft:pickaxes"
"Minecraft","minecraft:diamond_shovel",798,"Diamond Shovel",1561,"forge:tools/shovels, terralith:spire/rare_tools, forge:tools, minecraft:tools, c:shovels, minecraft:breaks_decorated_pots, minecraft:shovels"
"Minecraft","minecraft:diamond_sword",797,"Diamond Sword",1561,"minecraft:swords, bakery:knives, forge:tools, minecraft:tools, minecraft:breaks_decorated_pots, spartanweaponry:oilable_weapons, c:swords"
"Minecraft","minecraft:elytra",735,"Elytra",432,"forge:chestplates, bookshelf:armor, bookshelf:chestplates, forge:armor"
"Minecraft","minecraft:fishing_rod",891,"Fishing Rod",64,"forge:tools/fishing_rods, forge:tools, forge:fishing_rods, bookshelf:fishing_rods"
"Minecraft","minecraft:flint_and_steel",758,"Flint and Steel",64,"minecraft:creeper_igniters, quad:fire_lighter"
"Minecraft","minecraft:golden_axe",790,"Golden Axe",32,"notreepunching:weak_saws, minecraft:tools, minecraft:piglin_loved, minecraft:axes, forge:tools, minecraft:breaks_decorated_pots, c:axes, forge:tools/axes"
"Minecraft","minecraft:golden_boots",835,"Golden Boots",91,"minecraft:trimmable_armor, terralith:spire/common_tools, minecraft:piglin_loved, bookshelf:boots, forge:boots, forge:armors, forge:armors/boots, bookshelf:armor, forge:armor, quad:pacifier/piglin"
"Minecraft","minecraft:golden_chestplate",833,"Golden Chestplate",112,"minecraft:trimmable_armor, terralith:spire/common_tools, minecraft:piglin_loved, forge:armors, bookshelf:armor, forge:armor, bookshelf:chestplates, forge:armors/chestplates, quad:pacifier/piglin, forge:chestplates"
"Minecraft","minecraft:golden_helmet",832,"Golden Helmet",77,"minecraft:trimmable_armor, minecraft:piglin_loved, terralith:spire/common_tools, bookshelf:helmets, forge:armors/helmets, forge:helmets, forge:armors, bookshelf:armor, forge:armor, quad:pacifier/piglin"
"Minecraft","minecraft:golden_hoe",791,"Golden Hoe",32,"minecraft:tools, minecraft:breaks_decorated_pots, c:hoes, minecraft:piglin_loved, forge:tools, minecraft:hoes"
"Minecraft","minecraft:golden_leggings",834,"Golden Leggings",105,"bookshelf:leggings, minecraft:trimmable_armor, forge:leggings, terralith:spire/common_tools, minecraft:piglin_loved, forge:armors, bookshelf:armor, forge:armor, quad:pacifier/piglin, forge:armors/leggings"
"Minecraft","minecraft:golden_pickaxe",789,"Golden Pickaxe",32,"minecraft:tools, minecraft:piglin_loved, minecraft:pickaxes, c:pickaxes, forge:tools/pickaxes, forge:tools, minecraft:breaks_decorated_pots, minecraft:cluster_max_harvestables"
"Minecraft","minecraft:golden_shovel",788,"Golden Shovel",32,"forge:tools/shovels, forge:tools, minecraft:tools, minecraft:piglin_loved, c:shovels, minecraft:breaks_decorated_pots, minecraft:shovels"
"Minecraft","minecraft:golden_sword",787,"Golden Sword",32,"spartanweaponry:oilable_weapons, bakery:knives, minecraft:tools, minecraft:piglin_loved, minecraft:swords, forge:tools, minecraft:breaks_decorated_pots, c:swords"
"Minecraft","minecraft:iron_axe",795,"Iron Axe",250,"forge:tools/axes, forge:tools, minecraft:axes, minecraft:tools, terralith:spire/rare_tools, terralith:spire/common_tools, notreepunching:weak_saws, minecraft:breaks_decorated_pots, c:axes"
"Minecraft","minecraft:iron_boots",827,"Iron Boots",195,"forge:armors/boots, bookshelf:armor, forge:armors, terralith:spire/rare_tools, forge:boots, forge:armor, minecraft:trimmable_armor, bookshelf:boots"
"Minecraft","minecraft:iron_chestplate",825,"Iron Chestplate",240,"bookshelf:armor, bookshelf:chestplates, forge:armors, terralith:spire/rare_tools, forge:armors/chestplates, forge:armor, minecraft:trimmable_armor, forge:chestplates"
"Minecraft","minecraft:iron_helmet",824,"Iron Helmet",165,"forge:helmets, bookshelf:armor, forge:armors, terralith:spire/rare_tools, forge:armor, minecraft:trimmable_armor, bookshelf:helmets, forge:armors/helmets"
"Minecraft","minecraft:iron_hoe",796,"Iron Hoe",250,"minecraft:breaks_decorated_pots, c:hoes, minecraft:hoes, minecraft:tools, forge:tools"
"Minecraft","minecraft:iron_leggings",826,"Iron Leggings",225,"bookshelf:armor, forge:armors, forge:armors/leggings, terralith:spire/rare_tools, forge:armor, bookshelf:leggings, minecraft:trimmable_armor, forge:leggings"
"Minecraft","minecraft:iron_pickaxe",794,"Iron Pickaxe",250,"forge:tools/pickaxes, forge:tools, minecraft:pickaxes, minecraft:cluster_max_harvestables, minecraft:tools, terralith:spire/rare_tools, terralith:spire/common_tools, c:pickaxes, minecraft:breaks_decorated_pots"
"Minecraft","minecraft:iron_shovel",793,"Iron Shovel",250,"c:shovels, minecraft:tools, terralith:spire/rare_tools, forge:tools, terralith:spire/common_tools, forge:tools/shovels, minecraft:breaks_decorated_pots, minecraft:shovels"
"Minecraft","minecraft:iron_sword",792,"Iron Sword",250,"minecraft:swords, forge:tools, terralith:spire/common_tools, minecraft:tools, terralith:spire/rare_tools, spartanweaponry:oilable_weapons, c:swords, bakery:knives, minecraft:breaks_decorated_pots"
"Minecraft","minecraft:leather_boots",819,"Leather Boots",65,"tramplenomore:soft_boots, terralith:spire/leather_armor, forge:armors/boots, bookshelf:armor, forge:armors, bookshelf:boots, quad:snow/acts_solid, forge:armor, minecraft:trimmable_armor, quad:snow/boots, minecraft:freeze_immune_wearables, forge:boots"
"Minecraft","minecraft:leather_chestplate",817,"Leather Tunic",80,"minecraft:trimmable_armor, terralith:spire/leather_armor, minecraft:freeze_immune_wearables, quad:snow/acts_solid, forge:armors, bookshelf:armor, forge:armor, bookshelf:chestplates, forge:armors/chestplates, forge:chestplates"
"Minecraft","minecraft:leather_helmet",816,"Leather Cap",55,"bookshelf:armor, forge:armors/helmets, forge:helmets, forge:armor, minecraft:freeze_immune_wearables, bookshelf:helmets, quad:snow/acts_solid, forge:armors, minecraft:trimmable_armor"
"Minecraft","minecraft:leather_leggings",818,"Leather Pants",75,"bookshelf:leggings, minecraft:trimmable_armor, forge:leggings, terralith:spire/leather_armor, minecraft:freeze_immune_wearables, quad:snow/acts_solid, forge:armors, bookshelf:armor, forge:armor, forge:armors/leggings"
