"Mod name","Registry name","Item ID","Display name","Tags"
"Minecraft","minecraft:acacia_leaves",158,"Acacia Leaves","minecraft:completes_find_tree_tutorial, notreepunching:fire_starter_kindling, minecraft:leaves, alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs"
"Minecraft","minecraft:acacia_sapling",39,"Acacia Sapling","notreepunching:fire_starter_kindling, sereneseasons:summer_crops, minecraft:saplings, sereneseasons:spring_crops, quark:seed_pouch_holdable, sereneseasons:autumn_crops, sereneseasons:winter_crops, alexsmobs:elephant_foodstuffs"
"Minecraft","minecraft:azalea",175,"Azalea","notreepunching:fire_starter_kindling, sereneseasons:summer_crops, minecraft:saplings, sereneseasons:spring_crops, quark:seed_pouch_holdable, sereneseasons:autumn_crops, sereneseasons:winter_crops, alexsmobs:elephant_foodstuffs"
"Minecraft","minecraft:azalea_leaves",162,"Azalea Leaves","minecraft:completes_find_tree_tutorial, notreepunching:fire_starter_kindling, minecraft:leaves, alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs"
"Minecraft","minecraft:bamboo",229,"Bamboo","alexsmobs:elephant_foodstuffs, naturalist:tortoise_tempt_items, quark:seed_pouch_holdable, sereneseasons:summer_crops, alexsmobs:gorilla_foodstuffs, sereneseasons:spring_crops"
"Minecraft","minecraft:beetroot_seeds",1109,"Beetroot Seeds","forge:seeds/beetroot, bakery:seeds, minecraft:villager_plantable_seeds, forge:seeds, habitat:passerine_food, naturalist:bird_food_items, sereneseasons:autumn_crops, quark:seed_pouch_holdable, c:seeds, alexsmobs:jerboa_begs_for, spawn:ant_feeds, alexsmobs:crow_foodstuffs, quark:parrot_feed, crittersandcompanions:shima_enaga_food, spawn:hamster_tempts, alexsmobs:blue_jay_alert_foods, spawn:ant_tempts, alexsmobs:blue_jay_foodstuffs"
"Minecraft","minecraft:big_dripleaf",227,"Big Dripleaf","sereneseasons:summer_crops, sereneseasons:spring_crops"
"Minecraft","minecraft:birch_leaves",156,"Birch Leaves","minecraft:completes_find_tree_tutorial, notreepunching:fire_starter_kindling, minecraft:leaves, alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs"
"Minecraft","minecraft:birch_sapling",37,"Birch Sapling","notreepunching:fire_starter_kindling, sereneseasons:summer_crops, minecraft:saplings, sereneseasons:spring_crops, quark:seed_pouch_holdable, sereneseasons:autumn_crops, sereneseasons:winter_crops, alexsmobs:elephant_foodstuffs"
"Minecraft","minecraft:brick_slab",248,"Brick Slab","minecraft:slabs"
"Minecraft","minecraft:brick_stairs",339,"Brick Stairs","minecraft:stairs"
"Minecraft","minecraft:brick_wall",377,"Brick Wall","minecraft:walls"
"Minecraft","minecraft:bricks",263,"Bricks","handcrafted:counter_materials, handcrafted:trim_materials, forge:bricks/small"
"Minecraft","minecraft:brown_mushroom",212,"Brown Mushroom","farmersdelight:cabbage_roll_ingredients, quark:seed_pouch_holdable, sereneseasons:winter_crops, sereneseasons:spring_crops, sereneseasons:autumn_crops, alexsmobs:banana_slug_breedables, spawn:snail_tempts, forge:mushrooms, spawn:snail_feeds, naturalist:tortoise_tempt_items, sereneseasons:summer_crops, alexsmobs:tusklin_foodstuffs"
"Minecraft","minecraft:carrot",1051,"Carrot","spawn:hamster_tempts, alexsmobs:bunfungus_foodstuffs, forge:crops, forge:crops/carrot, sereneseasons:autumn_crops, spawn:snail_feeds, alexsmobs:elephant_foodstuffs, minecraft:villager_plantable_seeds, spoiled:foods, spoiled:foods/vanilla, alexsmobs:kangaroo_tameables, forge:vegetables, farmersdelight:cabbage_roll_ingredients, quark:seed_pouch_holdable, alexsmobs:triops_breedables, spawn:ant_feeds, c:foods, spawn:snail_tempts, spawn:ant_tempts, naturalist:boar_food_items, forge:foods, sereneseasons:spring_crops, forge:vegetables/carrot, cookyourfood:ok_to_eat_raw"
"Minecraft","minecraft:cherry_leaves",159,"Cherry Leaves","notreepunching:fire_starter_kindling, minecraft:leaves, alexsmobs:hummingbird_breedables, minecraft:flowers, minecraft:completes_find_tree_tutorial, alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs, alexsmobs:tarantula_hawk_foodstuffs"
"Minecraft","minecraft:cherry_sapling",40,"Cherry Sapling","minecraft:saplings, quark:seed_pouch_holdable, alexsmobs:elephant_foodstuffs, notreepunching:fire_starter_kindling"
"Minecraft","minecraft:chiseled_stone_bricks",321,"Chiseled Stone Bricks","minecraft:stone_bricks, forge:bricks/large"
"Minecraft","minecraft:cobblestone",22,"Cobblestone","minecraft:stone_crafting_materials, quark:stone_tool_materials, forge:cobblestone/normal, minecraft:stone_tool_materials, forge:cobblestone"
"Minecraft","minecraft:cobblestone_slab",247,"Cobblestone Slab","minecraft:slabs"
"Minecraft","minecraft:cobblestone_stairs",282,"Cobblestone Stairs","minecraft:stairs"
"Minecraft","minecraft:cobblestone_wall",375,"Cobblestone Wall","minecraft:walls"
"Minecraft","minecraft:cocoa_beans",903,"Cocoa Beans","quark:seed_pouch_holdable, sereneseasons:summer_crops, cold_sweat:chameleon/find_humid_biomes"
"Minecraft","minecraft:crimson_fungus",214,"Crimson Fungus","quad:immune/fire, quark:seed_pouch_holdable, sereneseasons:winter_crops, sereneseasons:summer_crops, sereneseasons:autumn_crops, sereneseasons:spring_crops"
"Minecraft","minecraft:crimson_nylium",20,"Crimson Nylium","sereneseasons:summer_crops, sereneseasons:autumn_crops, sereneseasons:winter_crops, sereneseasons:spring_crops"
"Minecraft","minecraft:dark_oak_leaves",160,"Dark Oak Leaves","minecraft:completes_find_tree_tutorial, notreepunching:fire_starter_kindling, minecraft:leaves, alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs"
"Minecraft","minecraft:dark_oak_sapling",41,"Dark Oak Sapling","notreepunching:fire_starter_kindling, sereneseasons:summer_crops, minecraft:saplings, sereneseasons:spring_crops, quark:seed_pouch_holdable, sereneseasons:autumn_crops, sereneseasons:winter_crops, alexsmobs:elephant_foodstuffs"
"Minecraft","minecraft:fern",174,"Fern","forge:grass, sereneseasons:summer_crops, cold_sweat:chameleon/find_humid_biomes, sereneseasons:autumn_crops, sereneseasons:spring_crops, regions_unexplored:grass"
"Minecraft","minecraft:flowering_azalea",176,"Flowering Azalea","alexsmobs:elephant_foodstuffs, sereneseasons:spring_crops, sereneseasons:autumn_crops, notreepunching:fire_starter_kindling, sereneseasons:summer_crops, alexsmobs:hummingbird_breedables, minecraft:flowers, minecraft:saplings, quark:seed_pouch_holdable, alexsmobs:tarantula_hawk_foodstuffs, sereneseasons:winter_crops"
"Minecraft","minecraft:flowering_azalea_leaves",163,"Flowering Azalea Leaves","notreepunching:fire_starter_kindling, minecraft:leaves, alexsmobs:hummingbird_breedables, minecraft:flowers, minecraft:completes_find_tree_tutorial, alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs, alexsmobs:tarantula_hawk_foodstuffs"
"Minecraft","minecraft:glow_berries",1166,"Glow Berries","forge:fruits/glow_berries, sereneseasons:spring_crops, forge:berries, c:fruits, c:berries, spoiled:foods/vanilla, spawn:angler_fish_tempts, sereneseasons:autumn_crops, alexsmobs:raccoon_teaming_foods, forge:foods, forge:fruits, alexsmobs:blue_jay_teaming_foods, sereneseasons:winter_crops, spoiled:foods, alexsmobs:blue_jay_foodstuffs, sereneseasons:summer_crops, c:foods, minecraft:fox_food"
"Minecraft","minecraft:glow_lichen",338,"Glow Lichen","galosphere:sparkle_tempt_items, spawn:angler_fish_tempts, spawn:angler_fish_likes, sereneseasons:autumn_crops, sereneseasons:spring_crops, sereneseasons:summer_crops, sereneseasons:winter_crops"
"Minecraft","minecraft:grass",173,"Grass","forge:grass, sereneseasons:summer_crops, alexsmobs:kangaroo_breedables, sereneseasons:spring_crops, alexsmobs:rhinoceros_breedables, farmersdelight:straw_plants, sereneseasons:autumn_crops, regions_unexplored:grass"
"Minecraft","minecraft:grass_block",14,"Grass Block","sereneseasons:summer_crops, sereneseasons:autumn_crops, sereneseasons:spring_crops, minecraft:dirt"
"Minecraft","minecraft:jungle_leaves",157,"Jungle Leaves","minecraft:completes_find_tree_tutorial, notreepunching:fire_starter_kindling, minecraft:leaves, alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs"
"Minecraft","minecraft:jungle_sapling",38,"Jungle Sapling","notreepunching:fire_starter_kindling, sereneseasons:summer_crops, minecraft:saplings, sereneseasons:spring_crops, quark:seed_pouch_holdable, sereneseasons:autumn_crops, sereneseasons:winter_crops, alexsmobs:elephant_foodstuffs"
"Minecraft","minecraft:kelp",222,"Kelp","crabbersdelight:jei_display_results/minecraft/air, sereneseasons:summer_crops, sereneseasons:spring_crops, aquaculture:tackle_box_green, quark:seed_pouch_holdable, sereneseasons:autumn_crops, sereneseasons:winter_crops, crabbersdelight:crab_tempt_item"
"Minecraft","minecraft:lilac",444,"Lilac","alexsmobs:hummingbird_breedables, minecraft:flowers, minecraft:tall_flowers, alexsmobs:tarantula_hawk_foodstuffs"
"Minecraft","minecraft:mangrove_leaves",161,"Mangrove Leaves","minecraft:completes_find_tree_tutorial, notreepunching:fire_starter_kindling, alexsmobs:gorilla_foodstuffs, alexsmobs:elephant_foodstuffs, sereneseasons:winter_crops, sereneseasons:summer_crops, sereneseasons:autumn_crops, minecraft:leaves, sereneseasons:spring_crops"
"Minecraft","minecraft:mangrove_propagule",42,"Mangrove Propagule","alexsmobs:elephant_foodstuffs, sereneseasons:spring_crops, sereneseasons:autumn_crops, notreepunching:fire_starter_kindling, sereneseasons:summer_crops, alexsmobs:hummingbird_breedables, minecraft:flowers, minecraft:saplings, quark:seed_pouch_holdable, alexsmobs:tarantula_hawk_foodstuffs, sereneseasons:winter_crops"
"Minecraft","minecraft:melon_seeds",946,"Melon Seeds","bakery:seeds, tumbleweed:drop_uncommon, forge:seeds, habitat:passerine_food, naturalist:bird_food_items, c:seeds, alexsmobs:jerboa_begs_for, forge:seeds/melon, quark:seed_pouch_holdable, alexsmobs:crow_foodstuffs, spawn:ant_feeds, crittersandcompanions:shima_enaga_food, spawn:hamster_tempts, alexsmobs:blue_jay_alert_foods, spawn:ant_tempts, alexsmobs:blue_jay_foodstuffs, sereneseasons:summer_crops, seeddelight:cant_eat_seed"
"Minecraft","minecraft:moss_block",225,"Moss Block","forge:moss, minecraft:dirt, sereneseasons:summer_crops, sereneseasons:autumn_crops, sereneseasons:spring_crops"
