"Mod name","Registry name","Item ID","Display name","Tags"
"Minecraft","minecraft:acacia_boat",744,"Acacia Boat","minecraft:boats"
"Minecraft","minecraft:acacia_button",666,"Acacia Button","minecraft:wooden_buttons, minecraft:buttons"
"Minecraft","minecraft:acacia_chest_boat",745,"Acacia Boat with Chest","minecraft:boats, minecraft:chest_boats"
"Minecraft","minecraft:acacia_door",693,"Acacia Door","minecraft:doors, minecraft:wooden_doors"
"Minecraft","minecraft:acacia_fence",293,"Acacia Fence","forge:fences, minecraft:wooden_fences, immersive_weathering:flammable_fences, minecraft:fences, forge:fences/wooden"
"Minecraft","minecraft:acacia_fence_gate",716,"Acacia Fence Gate","immersive_weathering:flammable_fence_gates, minecraft:fence_gates, forge:fence_gates/wooden, forge:fence_gates"
"Minecraft","minecraft:acacia_hanging_sign",861,"Acacia Hanging Sign","minecraft:hanging_signs"
"Minecraft","minecraft:acacia_leaves",158,"Acacia Leaves","minecraft:completes_find_tree_tutorial, notreepunching:fire_starter_kindling, minecraft:leaves, alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs"
"Minecraft","minecraft:acacia_log",114,"Acacia Log","minecraft:acacia_logs, minecraft:logs, notreepunching:fire_starter_logs, minecraft:logs_that_burn, minecraft:completes_find_tree_tutorial"
"Minecraft","minecraft:acacia_planks",27,"Acacia Planks","handcrafted:counter_materials, handcrafted:trim_materials, immersive_weathering:flammable_planks, minecraft:planks, buildersdelight:acacia_planks, notreepunching:fire_starter_logs"
"Minecraft","minecraft:acacia_pressure_plate",681,"Acacia Pressure Plate","minecraft:wooden_pressure_plates"
"Minecraft","minecraft:acacia_sapling",39,"Acacia Sapling","notreepunching:fire_starter_kindling, sereneseasons:summer_crops, minecraft:saplings, sereneseasons:spring_crops, quark:seed_pouch_holdable, sereneseasons:autumn_crops, sereneseasons:winter_crops, alexsmobs:elephant_foodstuffs"
"Minecraft","minecraft:acacia_sign",850,"Acacia Sign","minecraft:signs"
"Minecraft","minecraft:acacia_slab",234,"Acacia Slab","immersive_weathering:flammable_slabs, minecraft:slabs, minecraft:wooden_slabs"
"Minecraft","minecraft:acacia_stairs",365,"Acacia Stairs","minecraft:wooden_stairs, immersive_weathering:flammable_stairs, minecraft:stairs"
"Minecraft","minecraft:acacia_trapdoor",705,"Acacia Trapdoor","minecraft:wooden_trapdoors, minecraft:trapdoors"
"Minecraft","minecraft:acacia_wood",148,"Acacia Wood","minecraft:acacia_logs, minecraft:logs, notreepunching:fire_starter_logs, minecraft:logs_that_burn, minecraft:completes_find_tree_tutorial"
"Minecraft","minecraft:activator_rail",726,"Activator Rail","minecraft:rails"
"Minecraft","minecraft:air",0,"","berries_and_cherries:jei_empty_tag, crabbersdelight:crab_trap_bait"
"Minecraft","minecraft:allay_spawn_egg",967,"Allay Spawn Egg",""
"Minecraft","minecraft:allium",199,"Allium","alexsmobs:tarantula_hawk_foodstuffs, alexsmobs:hummingbird_breedables, biomeswevegone:flowers/alliums, bloomingnature:small_flower, minecraft:flowers, biomeswevegone:flowers/alliums/short, minecraft:small_flowers, aquaculture:turtle_edible"
"Minecraft","minecraft:amethyst_block",72,"Block of Amethyst","forge:storage_blocks/amethyst, forge:storage_blocks"
"Minecraft","minecraft:amethyst_cluster",1210,"Amethyst Cluster","c:clusters, forge:clusters"
"Minecraft","minecraft:amethyst_shard",768,"Amethyst Shard","forge:gems/amethyst, forge:gems, minecraft:trim_materials, balm:gems, c:gems"
"Minecraft","minecraft:ancient_debris",67,"Ancient Debris","quad:immune/fire, forge:ore_rates/singular, forge:ores/netherite_scrap, quad:immune/explosion, alexsmobs:underminer_ores, quad:immune/all, balm:ores, forge:ores, quad:immune/lightning, quad:immune/cactus, c:ores"
"Minecraft","minecraft:andesite",6,"Andesite","forge:stone, handcrafted:trim_materials, balm:stones, bookshelf:stones, minecraft:stone_crafting_materials, quark:stone_tool_materials, handcrafted:counter_materials, minecraft:stone_tool_materials"
"Minecraft","minecraft:andesite_slab",626,"Andesite Slab","minecraft:slabs"
"Minecraft","minecraft:andesite_stairs",609,"Andesite Stairs","minecraft:stairs"
"Minecraft","minecraft:andesite_wall",385,"Andesite Wall","minecraft:walls"
"Minecraft","minecraft:angler_pottery_sherd",1235,"Angler Pottery Sherd","minecraft:decorated_pot_sherds, minecraft:decorated_pot_ingredients"
"Minecraft","minecraft:anvil",397,"Anvil","minecraft:anvil"
"Minecraft","minecraft:apple",759,"Apple","spawn:snail_tempts, forge:apples, c:fruits/apple, forge:crops, spawn:ant_feeds, forge:foods, forge:crops/apple, minecraft:fox_food, spoiled:foods/vanilla, c:fruits/sweet, spawn:snail_feeds, spawn:ant_tempts, naturalist:giraffe_food_items, c:fruits, forge:fruits/apple, sereneseasons:autumn_crops, forge:fruits, spoiled:foods, c:foods/apples, c:foods, cookyourfood:ok_to_eat_raw, spawn:hamster_tempts, forge:fruits/sweet, alexsmobs:elephant_foodstuffs, alexsmobs:maned_wolf_stench_foods, dehydration:hydrating_foods, alexsmobs:gorilla_foodstuffs, sereneseasons:summer_crops, forge:foods/apples"
"Minecraft","minecraft:archer_pottery_sherd",1236,"Archer Pottery Sherd","minecraft:decorated_pot_sherds, minecraft:decorated_pot_ingredients"
"Minecraft","minecraft:armor_stand",1077,"Armor Stand",""
"Minecraft","minecraft:arms_up_pottery_sherd",1237,"Arms Up Pottery Sherd","minecraft:decorated_pot_sherds, minecraft:decorated_pot_ingredients"
"Minecraft","minecraft:arrow",761,"Arrow","minecraft:arrows"
"Minecraft","minecraft:axolotl_bucket",879,"Bucket of Axolotl","forge:buckets/entity_water, forge:mob_buckets, c:entity_water_buckets, bookshelf:mob_buckets"
"Minecraft","minecraft:axolotl_spawn_egg",968,"Axolotl Spawn Egg",""
"Minecraft","minecraft:azalea",175,"Azalea","notreepunching:fire_starter_kindling, sereneseasons:summer_crops, minecraft:saplings, sereneseasons:spring_crops, quark:seed_pouch_holdable, sereneseasons:autumn_crops, sereneseasons:winter_crops, alexsmobs:elephant_foodstuffs"
"Minecraft","minecraft:azalea_leaves",162,"Azalea Leaves","minecraft:completes_find_tree_tutorial, notreepunching:fire_starter_kindling, minecraft:leaves, alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs"
"Minecraft","minecraft:azure_bluet",200,"Azure Bluet","minecraft:small_flowers, bloomingnature:small_flower, alexsmobs:hummingbird_breedables, aquaculture:turtle_edible, alexsmobs:tarantula_hawk_foodstuffs, minecraft:flowers"
"Minecraft","minecraft:baked_potato",1053,"Baked Potato","c:foods, forge:foods, alexsmobs:elephant_foodstuffs, wildernature:can_be_truffled, spoiled:foods/vanilla, salt:can_be_salted, spoiled:foods"
"Minecraft","minecraft:bamboo",229,"Bamboo","alexsmobs:elephant_foodstuffs, naturalist:tortoise_tempt_items, quark:seed_pouch_holdable, sereneseasons:summer_crops, alexsmobs:gorilla_foodstuffs, sereneseasons:spring_crops"
"Minecraft","minecraft:bamboo_block",122,"Block of Bamboo","minecraft:bamboo_blocks"
"Minecraft","minecraft:bamboo_button",670,"Bamboo Button","minecraft:wooden_buttons, minecraft:buttons"
"Minecraft","minecraft:bamboo_chest_raft",753,"Bamboo Raft with Chest","minecraft:boats, minecraft:chest_boats"
"Minecraft","minecraft:bamboo_door",697,"Bamboo Door","minecraft:doors, minecraft:wooden_doors"
"Minecraft","minecraft:bamboo_fence",297,"Bamboo Fence","minecraft:wooden_fences, minecraft:fences, forge:fences/wooden, forge:fences"
"Minecraft","minecraft:bamboo_fence_gate",720,"Bamboo Fence Gate","forge:fence_gates, minecraft:fence_gates, forge:fence_gates/wooden"
"Minecraft","minecraft:bamboo_hanging_sign",865,"Bamboo Hanging Sign","minecraft:hanging_signs"
"Minecraft","minecraft:bamboo_mosaic",34,"Bamboo Mosaic","buildersdelight:bamboo_planks"
"Minecraft","minecraft:bamboo_mosaic_slab",239,"Bamboo Mosaic Slab","minecraft:slabs"
"Minecraft","minecraft:bamboo_mosaic_stairs",370,"Bamboo Mosaic Stairs","minecraft:stairs"
"Minecraft","minecraft:bamboo_planks",31,"Bamboo Planks","handcrafted:counter_materials, handcrafted:trim_materials, notreepunching:fire_starter_logs, minecraft:planks, buildersdelight:bamboo_planks"
"Minecraft","minecraft:bamboo_pressure_plate",685,"Bamboo Pressure Plate","minecraft:wooden_pressure_plates"
"Minecraft","minecraft:bamboo_raft",752,"Bamboo Raft","minecraft:boats"
"Minecraft","minecraft:bamboo_sign",854,"Bamboo Sign","minecraft:signs"
"Minecraft","minecraft:bamboo_slab",238,"Bamboo Slab","minecraft:wooden_slabs, minecraft:slabs"
"Minecraft","minecraft:bamboo_stairs",369,"Bamboo Stairs","minecraft:wooden_stairs, minecraft:stairs"
"Minecraft","minecraft:bamboo_trapdoor",709,"Bamboo Trapdoor","minecraft:wooden_trapdoors, minecraft:trapdoors"
"Minecraft","minecraft:barrel",1154,"Barrel","c:wooden_barrels, forge:sites/villager_job, c:villager_job_sites, forge:barrels/wooden, forge:barrels"
