"Registry name","ID"
"alexsmobs:alligator_snapping_turtle_hurt",2419
"alexsmobs:alligator_snapping_turtle_idle",2418
"alexsmobs:anaconda_attack",2484
"alexsmobs:anaconda_hurt",2483
"alexsmobs:anaconda_slither",2482
"alexsmobs:anteater_hurt",2486
"alexsmobs:april_fools_music_box",2506
"alexsmobs:april_fools_power_outage",2505
"alexsmobs:april_fools_scream",2504
"alexsmobs:bald_eagle_hurt",2454
"alexsmobs:bald_eagle_idle",2453
"alexsmobs:banana_slug_hurt",2553
"alexsmobs:banana_slug_slime_expand",2554
"alexsmobs:bear_dust",2350
"alexsmobs:bison_hurt",2512
"alexsmobs:bison_idle",2511
"alexsmobs:blue_jay_hurt",2556
"alexsmobs:blue_jay_idle",2555
"alexsmobs:blue_jay_song",2557
"alexsmobs:bone_serpent_hurt",2386
"alexsmobs:bone_serpent_idle",2385
"alexsmobs:bunfungus_attack",2509
"alexsmobs:bunfungus_hurt",2508
"alexsmobs:bunfungus_idle",2507
"alexsmobs:bunfungus_jump",2510
"alexsmobs:cachalot_whale_click",2446
"alexsmobs:cachalot_whale_hurt",2445
"alexsmobs:cachalot_whale_idle",2444
"alexsmobs:caiman_hurt",2559
"alexsmobs:caiman_idle",2558
"alexsmobs:caiman_splash",2560
"alexsmobs:capuchin_monkey_hurt",2384
"alexsmobs:capuchin_monkey_idle",2383
"alexsmobs:centipede_attack",2389
"alexsmobs:centipede_hurt",2388
"alexsmobs:centipede_walk",2387
"alexsmobs:cockroach_hurt",2403
"alexsmobs:comb_jelly_hurt",2500
"alexsmobs:cosmaw_hurt",2477
"alexsmobs:cosmaw_idle",2476
"alexsmobs:cosmic_cod_hurt",2501
"alexsmobs:crocodile_baby",2358
"alexsmobs:crocodile_bite",2357
"alexsmobs:crocodile_hurt",2356
"alexsmobs:crocodile_idle",2355
"alexsmobs:crow_hurt",2417
"alexsmobs:crow_idle",2416
"alexsmobs:devils_hole_pupfish_hurt",2515
"alexsmobs:dropbear_hurt",2438
"alexsmobs:dropbear_idle",2437
"alexsmobs:elephant_die",2407
"alexsmobs:elephant_hurt",2406
"alexsmobs:elephant_idle",2405
"alexsmobs:elephant_trumpet",2408
"alexsmobs:elephant_walk",2409
"alexsmobs:emu_hurt",2434
"alexsmobs:emu_idle",2433
"alexsmobs:end_pirate_door",2562
"alexsmobs:endergrade_hurt",2376
"alexsmobs:endergrade_idle",2375
"alexsmobs:enderiophage_hurt",2449
"alexsmobs:enderiophage_squish",2450
"alexsmobs:enderiophage_walk",2451
"alexsmobs:farseer_beam",2532
"alexsmobs:farseer_emerge",2531
"alexsmobs:farseer_hurt",2529
"alexsmobs:farseer_idle",2530
"alexsmobs:flutter_flap",2494
"alexsmobs:flutter_hurt",2493
"alexsmobs:flutter_idle",2492
"alexsmobs:flutter_no",2495
"alexsmobs:flutter_yes",2496
"alexsmobs:fly_hurt",2360
"alexsmobs:fly_idle",2359
"alexsmobs:froststalker_hurt",2471
"alexsmobs:froststalker_idle",2470
"alexsmobs:gazelle_hurt",2354
"alexsmobs:gelada_monkey_hurt",2491
"alexsmobs:gelada_monkey_idle",2490
"alexsmobs:giant_squid_games",2503
"alexsmobs:giant_squid_hurt",2513
"alexsmobs:giant_squid_tentacle",2514
"alexsmobs:gorilla_hurt",2368
"alexsmobs:gorilla_idle",2367
"alexsmobs:grizzly_bear_die",2349
"alexsmobs:grizzly_bear_hurt",2348
"alexsmobs:grizzly_bear_idle",2347
"alexsmobs:guster_hurt",2428
"alexsmobs:guster_idle",2427
"alexsmobs:hummingbird_hurt",2362
"alexsmobs:hummingbird_idle",2361
"alexsmobs:hummingbird_loop",2363
"alexsmobs:jerboa_hurt",2498
"alexsmobs:jerboa_idle",2497
"alexsmobs:kangaroo_hurt",2443
"alexsmobs:kangaroo_idle",2442
"alexsmobs:komodo_dragon_hurt",2380
"alexsmobs:komodo_dragon_idle",2379
"alexsmobs:la_cucaracha",2400
