"Registry Name","Spawned ID","Egg primary color","Egg secondary color"
"bakery:wandering_baker_spawn_egg","bakery:wandering_baker","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"bloomingnature:termite_spawn_egg","bloomingnature:termite","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"bloomingnature:wandering_gardener_spawn_egg","bloomingnature:wandering_gardener","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"fishofthieves:ancientscale_spawn_egg","fishofthieves:ancientscale","0x00F7925C (  16224860)","0x00783928 (   7878952)"
"fishofthieves:battlegill_spawn_egg","fishofthieves:battlegill","0x00234731 (   2311985)","0x00A89372 (  11047794)"
"fishofthieves:devilfish_spawn_egg","fishofthieves:devilfish","0x00838198 (   8618392)","0x00C76773 (  13068147)"
"fishofthieves:islehopper_spawn_egg","fishofthieves:islehopper","0x00595469 (   5854313)","0x00833A40 (   8600128)"
"fishofthieves:plentifin_spawn_egg","fishofthieves:plentifin","0x00C4DE47 (  12901959)","0x00325513 (   3298579)"
"fishofthieves:pondie_spawn_egg","fishofthieves:pondie","0x008285BE (   8553918)","0x005F7246 (   6255174)"
"fishofthieves:splashtail_spawn_egg","fishofthieves:splashtail","0x009E3535 (  10368309)","0x003C44A9 (   3949737)"
"fishofthieves:stormfish_spawn_egg","fishofthieves:stormfish","0x009195B4 (   9541044)","0x00835B6C (   8608620)"
"fishofthieves:wildsplash_spawn_egg","fishofthieves:wildsplash","0x00627746 (   6453062)","0x00734F18 (   7556888)"
"fishofthieves:wrecker_spawn_egg","fishofthieves:wrecker","0x00B774CC (  12022988)","0x0046266F (   4597359)"
"minecraft:allay_spawn_egg","minecraft:allay","0x0000DAFF (     56063)","0x0000ADFF (     44543)"
"minecraft:axolotl_spawn_egg","minecraft:axolotl","0x00FBC1E3 (  16499171)","0x00A62D74 (  10890612)"
"minecraft:bat_spawn_egg","minecraft:bat","0x004C3E30 (   4996656)","0x000F0F0F (    986895)"
"minecraft:bee_spawn_egg","minecraft:bee","0x00EDC343 (  15582019)","0x0043241B (   4400155)"
"minecraft:blaze_spawn_egg","minecraft:blaze","0x00F6B201 (  16167425)","0x00FFF87E (  16775294)"
"minecraft:camel_spawn_egg","minecraft:camel","0x00FCC369 (  16565097)","0x00CB9337 (  13341495)"
"minecraft:cat_spawn_egg","minecraft:cat","0x00EFC88E (  15714446)","0x00957256 (   9794134)"
"minecraft:cave_spider_spawn_egg","minecraft:cave_spider","0x000C424E (    803406)","0x00A80E0E (  11013646)"
"minecraft:chicken_spawn_egg","minecraft:chicken","0x00A1A1A1 (  10592673)","0x00FF0000 (  16711680)"
"minecraft:cod_spawn_egg","minecraft:cod","0x00C1A76A (  12691306)","0x00E5C48B (  15058059)"
"minecraft:cow_spawn_egg","minecraft:cow","0x00443626 (   4470310)","0x00A1A1A1 (  10592673)"
"minecraft:creeper_spawn_egg","minecraft:creeper","0x000DA70B (    894731)","0x00000000 (         0)"
"minecraft:dolphin_spawn_egg","minecraft:dolphin","0x00223B4D (   2243405)","0x00F9F9F9 (  16382457)"
"minecraft:donkey_spawn_egg","minecraft:donkey","0x00534539 (   5457209)","0x00867566 (   8811878)"
"minecraft:drowned_spawn_egg","minecraft:drowned","0x008FF1D7 (   9433559)","0x00799C65 (   7969893)"
"minecraft:elder_guardian_spawn_egg","minecraft:elder_guardian","0x00CECCBA (  13552826)","0x00747693 (   7632531)"
"minecraft:ender_dragon_spawn_egg","minecraft:ender_dragon","0x001C1C1C (   1842204)","0x00E079FA (  14711290)"
"minecraft:enderman_spawn_egg","minecraft:enderman","0x00161616 (   1447446)","0x00000000 (         0)"
"minecraft:endermite_spawn_egg","minecraft:endermite","0x00161616 (   1447446)","0x006E6E6E (   7237230)"
"minecraft:evoker_spawn_egg","minecraft:evoker","0x00959B9B (   9804699)","0x001E1C1A (   1973274)"
"minecraft:fox_spawn_egg","minecraft:fox","0x00D5B69F (  14005919)","0x00CC6920 (  13396256)"
"minecraft:frog_spawn_egg","minecraft:frog","0x00D07444 (  13661252)","0x00FFC77C (  16762748)"
"minecraft:ghast_spawn_egg","minecraft:ghast","0x00F9F9F9 (  16382457)","0x00BCBCBC (  12369084)"
"minecraft:glow_squid_spawn_egg","minecraft:glow_squid","0x00095656 (    611926)","0x0085F1BC (   8778172)"
"minecraft:goat_spawn_egg","minecraft:goat","0x00A5947C (  10851452)","0x0055493E (   5589310)"
"minecraft:guardian_spawn_egg","minecraft:guardian","0x005A8272 (   5931634)","0x00F17D30 (  15826224)"
"minecraft:hoglin_spawn_egg","minecraft:hoglin","0x00C66E55 (  13004373)","0x005F6464 (   6251620)"
"minecraft:horse_spawn_egg","minecraft:horse","0x00C09E7D (  12623485)","0x00EEE500 (  15656192)"
"minecraft:husk_spawn_egg","minecraft:husk","0x00797061 (   7958625)","0x00E6CC94 (  15125652)"
"minecraft:iron_golem_spawn_egg","minecraft:iron_golem","0x00DBCDC2 (  14405058)","0x0074A332 (   7643954)"
"minecraft:llama_spawn_egg","minecraft:llama","0x00C09E7D (  12623485)","0x00995F40 (  10051392)"
"minecraft:magma_cube_spawn_egg","minecraft:magma_cube","0x00340000 (   3407872)","0x00FCFC00 (  16579584)"
"minecraft:mooshroom_spawn_egg","minecraft:mooshroom","0x00A00F10 (  10489616)","0x00B7B7B7 (  12040119)"
"minecraft:mule_spawn_egg","minecraft:mule","0x001B0200 (   1769984)","0x0051331D (   5321501)"
"minecraft:ocelot_spawn_egg","minecraft:ocelot","0x00EFDE7D (  15720061)","0x00564434 (   5653556)"
"minecraft:panda_spawn_egg","minecraft:panda","0x00E7E7E7 (  15198183)","0x001B1B22 (   1776418)"
"minecraft:parrot_spawn_egg","minecraft:parrot","0x000DA70B (    894731)","0x00FF0000 (  16711680)"
"minecraft:phantom_spawn_egg","minecraft:phantom","0x0043518A (   4411786)","0x0088FF00 (   8978176)"
"minecraft:pig_spawn_egg","minecraft:pig","0x00F0A5A2 (  15771042)","0x00DB635F (  14377823)"
"minecraft:piglin_brute_spawn_egg","minecraft:piglin_brute","0x00592A10 (   5843472)","0x00F9F3A4 (  16380836)"
"minecraft:piglin_spawn_egg","minecraft:piglin","0x00995F40 (  10051392)","0x00F9F3A4 (  16380836)"
"minecraft:pillager_spawn_egg","minecraft:pillager","0x00532F36 (   5451574)","0x00959B9B (   9804699)"
"minecraft:polar_bear_spawn_egg","minecraft:polar_bear","0x00EEEEDE (  15658718)","0x00D5D6CD (  14014157)"
"minecraft:pufferfish_spawn_egg","minecraft:pufferfish","0x00F6B201 (  16167425)","0x0037C3F2 (   3654642)"
"minecraft:rabbit_spawn_egg","minecraft:rabbit","0x00995F40 (  10051392)","0x00734831 (   7555121)"
"minecraft:ravager_spawn_egg","minecraft:ravager","0x00757470 (   7697520)","0x005B5049 (   5984329)"
"minecraft:salmon_spawn_egg","minecraft:salmon","0x00A00F10 (  10489616)","0x000E8474 (    951412)"
"minecraft:sheep_spawn_egg","minecraft:sheep","0x00E7E7E7 (  15198183)","0x00FFB5B5 (  16758197)"
"minecraft:shulker_spawn_egg","minecraft:shulker","0x00946794 (   9725844)","0x004D3852 (   5060690)"
"minecraft:silverfish_spawn_egg","minecraft:silverfish","0x006E6E6E (   7237230)","0x00303030 (   3158064)"
